nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8
4180563483,L,Reguler,SMAN 1 BAREGBEG,Kab Ciamis,Jawa Barat,AKUNTANSI,Tidak Memilih,64,85.39,Tidak Lulus,Tidak Lulus,10.8,10.7,1,0,10.7,10.7,10.7,10.7
4180564134,L,Reguler,SMKN 4 TANGERANG,Kota Tangerang,Banten,TEKNIK ELEKTRO ,Tidak Memilih,40,79.04,Tidak Lulus,Tidak Lulus,10.7,9.9,1,0,9.9,9.9,9.9,9.9
4180564433,P,Reguler,MAN 4 JOMBANG,Kab Jombang,Jawa Timur,EKONOMI SYARIAH,Tidak Memilih,55,82.98,Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
4180565137,P,Reguler,MAS MU ALLIMIEN MUHAMMADIYAH,Kab Bogor,Jawa Barat,PENDIDIKAN SEJARAH,Tidak Memilih,78,79.94,Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
4180315465,L,Reguler,SMAN 1 SINGAPARNA,Kab Tasikmalaya,Jawa Barat,TEKNIK SIPIL,Tidak Memilih,254,85.56,TEKNIK SIPIL,pil_1,10.9,10.7,1,0,10.7,10.7,10.7,10.7
4180565852,P,Reguler,SMAN 1 BEBER,Kab Cirebon,Jawa Barat,MANAJEMEN,Tidak Memilih,133,78.74,Tidak Lulus,Tidak Lulus,9.9,9.8,1,0,9.8,9.8,9.8,9.8
4180337393,L,Reguler,SMAN 2 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,TEKNIK SIPIL,Tidak Memilih,277,85.88,TEKNIK SIPIL,pil_1,10.9,10.7,1,0,10.7,10.7,10.7,10.7
4180569410,P,Reguler,SMKN MANONJAYA,Kab Tasikmalaya,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Tidak Memilih,74,79.3,Tidak Lulus,Tidak Lulus,10.4,9.9,1,0,9.9,9.9,9.9,9.9
4180393187,L,Reguler,SMA AL MUTTAQIN,Kota Tasikmalaya,Jawa Barat,TEKNIK SIPIL,Tidak Memilih,107,85.42,TEKNIK SIPIL,pil_1,10.8,10.7,1,0,10.7,10.7,10.7,10.7
4180570491,L,Reguler,SMAS MUHAMMADIYAH TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,MANAJEMEN,Tidak Memilih,18,82.74,Tidak Lulus,Tidak Lulus,10.2,10.3,1,0,10.3,10.3,10.3,10.3
4180570492,P,Reguler,SMAN 1 CITEUREUP,Kab Bogor,Jawa Barat,AKUNTANSI,Tidak Memilih,190,82.56,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
4180570684,P,Reguler,SMA NEGERI  1 CIRANJANG,Kab Cianjur,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,223,84.26,Tidak Lulus,Tidak Lulus,10.7,10.5,1,0,10.5,10.5,10.5,10.5
4180572460,P,Reguler,SMKN 1 LOSARANG,Kab Indramayu,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Tidak Memilih,70,82.29,Tidak Lulus,Tidak Lulus,10.6,10.3,1,0,10.3,10.3,10.3,10.3
4180573186,P,Reguler,SMA NEGERI 4 LUBUKLINGGAU,Kota Lubuklinggau,Sumatera Selatan,MANAJEMEN,Tidak Memilih,81,80.1,Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
4180573801,P,Reguler,SMAS YADIKA 11,Kota Bekasi,Jawa Barat,MANAJEMEN,Tidak Memilih,157,81.22,Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
4180574317,P,Reguler,SMAN 1 BANTARUJEG,Kab Majalengka,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,92,79.19,Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
4180574655,L,Reguler,SMKN 2 BANJAR,Kota Banjar,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,138,81.59,Tidak Lulus,Tidak Lulus,10.6,10.2,1,0,10.2,10.2,10.2,10.2
4180575626,L,Reguler,SMA NEGERI 1 PATIMUAN,Kab Cilacap,Jawa Tengah,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI ",Tidak Memilih,60,88.48,Tidak Lulus,Tidak Lulus,11.1,11.1,1,0,11.1,11.1,11.1,11.1
