Kanwil;Area;Jenis;Vendor;UP;HPP;Margin;Jumlah Keping;Jumlah Gram
KANWIL PEKANBARU;AREA PEKANBARU;UMUM;;16339062886;19420833000;2467084662;1971;18909,5000
KANWIL SEMARANG;AREA PATI;ARISAN;;621413800;723748000;52139318;344;687,0000
KANWIL SEMARANG;AREA PURWOKERTO;ARISAN;;632746800;744408000;43472848;501;692,5000
KANWIL SEMARANG;AREA SEMARANG;ARISAN;;2057088800;2419316000;158871220;980;2304,0000
KANWIL SEMARANG;AREA SURAKARTA;ARISAN;;1317151150;1535383000;132361284;397;1485,0000
KANWIL SEMARANG;AREA TEGAL;ARISAN;;1121495100;1319406000;114743641;444;1246,0000
KANWIL SEMARANG;AREA YOGYAKARTA;ARISAN;;662371900;777004000;46749498;380;733,5000
KANWIL SEMARANG;AREA PATI;PEGAWAI;;933199486;1043830000;57138714;192;976,0000
KANWIL SEMARANG;AREA PURWOKERTO;PEGAWAI;;147045790;175024000;7867122;45;165,5000
KANWIL SEMARANG;AREA SEMARANG;PEGAWAI;;836534120;987767000;56278812;199;929,0000
KANWIL SEMARANG;AREA SURAKARTA;PEGAWAI;;1204424111;1431160000;67574688;258;1337,0000
KANWIL SEMARANG;AREA TEGAL;PEGAWAI;;902788902;1027964000;48931140;175;958,5000
KANWIL SEMARANG;AREA YOGYAKARTA;PEGAWAI;;1850233532;2112097000;104231874;268;1974,5000
KANWIL SEMARANG;AREA PATI;UMUM;;4242803427;5265703000;537479637;722;5088,0000
KANWIL SEMARANG;AREA PURWOKERTO;UMUM;;5716087354;6970957000;617945244;1040;6743,0000
KANWIL SEMARANG;AREA SEMARANG;UMUM;;13831640314;16450046855;2082388680;1685;15880,0000
KANWIL SEMARANG;AREA SURAKARTA;UMUM;;7985782795;9571781000;1016988570;1060;9352,5000
KANWIL SEMARANG;AREA TEGAL;UMUM;;5859741446;7007139000;699515544;1165;6742,5000
KANWIL SEMARANG;AREA YOGYAKARTA;UMUM;;14335214331;17135371000;1970115396;1509;16735,2500
KANWIL SURABAYA;AREA JEMBER;ARISAN;;171676200;201972000;12241172;119;186,0000
KANWIL SURABAYA;AREA MADIUN;ARISAN;;990792850;1164397000;81591126;689;1097,0000
KANWIL SURABAYA;AREA MALANG;ARISAN;;1392714800;1638488000;121409342;687;1563,0000
KANWIL SURABAYA;AREA PAMEKASAN;ARISAN;;971521100;1142966000;122180265;291;1121,0000
KANWIL SURABAYA;AREA PROBOLINGGO;ARISAN;;1056238900;1242634000;100299935;544;1182,0000
KANWIL SURABAYA;AREA SURABAYA 1;ARISAN;;521081450;613037000;42576962;299;587,0000
KANWIL SURABAYA;AREA SURABAYA 2;ARISAN;;703196500;827290000;68646706;279;799,0000
KANWIL SURABAYA;AREA JEMBER;PEGAWAI;;275079050;311234000;27858930;48;301,1800
KANWIL SURABAYA;AREA MADIUN;PEGAWAI;;155358160;197454000;9038562;34;190,0000
KANWIL SURABAYA;AREA MALANG;PEGAWAI;;152740600;173861000;9310284;22;168,0000
KANWIL SURABAYA;AREA PAMEKASAN;PEGAWAI;;143275040;235914000;9596046;28;224,0000
KANWIL SURABAYA;AREA PROBOLINGGO;PEGAWAI;;428056441;534197000;56649600;8;520,5000
KANWIL SURABAYA;AREA SURABAYA 1;PEGAWAI;;492105364;579894000;25077330;67;558,0000
KANWIL SURABAYA;AREA SURABAYA 2;PEGAWAI;;260615680;285011000;25294596;48;272,5000
KANWIL SURABAYA;AREA JEMBER;UMUM;;3446173392;4154268000;474144114;817;4012,0000
KANWIL SURABAYA;AREA MADIUN;UMUM;;9259779520;11226060329;1233219558;2084;10856,0000
KANWIL SURABAYA;AREA MALANG;UMUM;;17822318905;21615009184;2580918639;2511;21063,0000
KANWIL SURABAYA;AREA PAMEKASAN;UMUM;;3208463170;3851277000;496685484;628;3744,5000
KANWIL SURABAYA;AREA PROBOLINGGO;UMUM;;4114591393;4977514000;499261503;862;4831,0000
KANWIL SURABAYA;AREA SURABAYA 1;UMUM;;13206052392;15770028000;1882106316;1699;15345,5000
KANWIL SURABAYA;AREA SURABAYA 2;UMUM;;10013068756;12164450000;1304554329;1249;11886,5000
TOTAL;;;;954.835.578.618,00;1.137.763.797.232,00;129.929.567.818,00;149,88;1.104.985,3400
