JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus Pilihan,X1,X2,X3,X5,X6,X7,X8,X9,XT
0,1,678,93,6,4,15,156,84.16,0,10.4,10.5,1.0,10.5,10.5,10.5,10.5,11.3,75.3
0,0,298,15,6,14,21,113,84.78,1,10.6,10.6,1.0,10.6,10.6,10.6,10.6,10.0,74.6
1,0,717,61,6,25,24,138,82.1,0,10.6,10.3,1.0,10.3,10.3,10.3,10.3,10.6,73.6
0,1,678,93,6,10,4,95,82.54,0,10.6,10.3,1.0,10.3,10.3,10.3,10.3,11.3,74.5
1,0,388,61,6,0,7,44,84.91,1,10.7,10.6,1.0,10.6,10.6,10.6,10.6,10.6,74.4
0,1,678,93,6,10,5,62,85.29,0,10.6,10.7,1.0,10.7,10.7,10.7,10.7,11.3,76.2
0,1,298,15,6,4,10,138,85.45,0,10.8,10.7,1.0,10.7,10.7,10.7,10.7,10.0,75.2
0,0,78,61,6,21,11,35,85.97,1,10.9,10.7,1.0,10.7,10.7,10.7,10.7,10.6,76.2
0,0,195,61,6,27,16,126,78.86,0,10.0,9.9,1.0,9.9,9.9,9.9,9.9,10.6,70.9
0,0,723,61,6,6,10,14,88.74,1,10.0,11.1,1.0,11.1,11.1,11.1,11.1,10.6,77.1
1,0,19,93,6,4,5,131,83.27,0,10.6,10.4,1.0,10.4,10.4,10.4,10.4,11.3,74.9
0,1,211,15,6,8,6,38,86.82,0,11.0,10.9,1.0,10.9,10.9,10.9,10.9,10.0,76.2
0,0,22,61,6,0,4,46,87.23,1,11.0,10.9,1.0,10.9,10.9,10.9,10.9,10.6,76.1
0,1,19,93,6,5,15,131,84.5,0,10.8,10.6,1.0,10.6,10.6,10.6,10.6,11.3,75.8
1,0,480,93,6,10,28,149,81.56,0,10.3,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.6
0,0,743,68,6,27,9,75,79.47,0,10.3,9.9,1.1,9.9,9.9,9.9,9.9,7.5,68.6
0,0,686,30,6,4,10,150,85.2,0,10.3,10.6,1.0,10.6,10.6,10.6,10.6,7.5,72.1
0,1,569,61,6,0,14,41,87.43,1,11.0,10.9,1.0,10.9,10.9,10.9,10.9,10.6,77.3
0,0,706,67,6,13,14,66,80.42,0,10.3,10.1,1.0,10.1,10.1,10.1,10.1,7.5,69.1
0,1,310,61,6,0,10,254,86.46,1,11.0,10.8,1.0,10.8,10.8,10.8,10.8,10.6,75.6
0,1,204,61,6,15,22,76,83.89,0,10.5,10.5,1.0,10.5,10.5,10.5,10.5,10.6,74.6
0,0,245,61,6,7,9,256,85.81,1,10.9,10.7,1.0,10.7,10.7,10.7,10.7,10.6,76.1
1,1,34,61,6,10,28,160,83.08,0,10.5,10.4,1.0,10.4,10.4,10.4,10.4,10.6,74.1
0,0,204,61,6,4,5,76,85.37,0,10.7,10.7,1.0,10.7,10.7,10.7,10.7,10.6,75.7
0,0,715,61,6,5,15,76,84.93,1,10.7,10.6,1.1,10.6,10.6,10.6,10.6,10.6,75.5
0,1,241,30,6,10,5,191,85.5,0,10.9,10.7,1.0,10.7,10.7,10.7,10.7,7.5,72.8
1,0,574,61,6,1,10,40,81.35,0,10.2,10.2,1.0,10.2,10.2,10.2,10.2,10.6,71.7
0,0,715,61,6,15,5,76,80.78,0,10.2,10.1,1.0,10.1,10.1,10.1,10.1,10.6,72.3
0,0,204,61,6,4,5,76,84.13,0,10.5,10.5,1.0,10.5,10.5,10.5,10.5,10.6,74.7
1,1,230,18,6,24,3,184,81.7,0,10.4,10.2,1.0,10.2,10.2,10.2,10.2,7.5,70.0
0,1,266,18,6,3,9,112,83.54,0,10.6,10.4,1.0,10.4,10.4,10.4,10.4,7.5,71.3
0,1,471,19,6,16,21,168,84.9,0,10.8,10.6,1.0,10.6,10.6,10.6,10.6,9.4,74.2
0,1,204,61,6,5,6,76,85.15,0,10.6,10.6,1.0,10.6,10.6,10.6,10.6,10.6,75.5
0,1,678,93,6,10,9,64,83.49,0,10.6,10.4,1.0,10.4,10.4,10.4,10.4,11.3,75.1
0,0,69,3,6,21,16,59,86.99,2,10.9,10.9,1.0,10.9,10.9,10.9,10.9,7.5,73.7
0,0,455,93,6,4,5,182,84.94,0,10.8,10.6,1.0,10.6,10.6,10.6,10.6,11.3,76.1
0,0,807,93,6,4,21,22,83.17,0,10.8,10.4,1.0,10.4,10.4,10.4,10.4,11.3,75.0
0,0,574,61,6,7,9,20,82.8,0,10.4,10.3,1.0,10.3,10.3,10.3,10.3,10.6,73.8
0,0,48,15,6,8,1,46,85.13,1,10.8,10.6,1.0,10.6,10.6,10.6,10.6,10.0,74.0
0,0,455,93,6,10,6,182,80.68,0,10.3,10.1,1.0,10.1,10.1,10.1,10.1,11.3,73.0
0,0,807,93,6,4,10,22,80.68,0,10.3,10.1,1.0,10.1,10.1,10.1,10.1,11.3,73.0
0,0,471,19,6,1,10,126,82.33,0,10.4,10.3,1.0,10.3,10.3,10.3,10.3,9.4,71.2
0,0,645,15,6,4,10,153,90.98,1,10.4,11.4,1.0,11.4,11.4,11.4,11.4,10.0,78.3
1,1,225,18,6,25,27,195,85.74,0,10.8,10.7,1.0,10.7,10.7,10.7,10.7,7.5,72.9
